id,city_id,registered_at,first_name,last_name,farm_size
1,5650,01/11/2016,Susan,Hubert,160
2,25580,01/11/2016,Arthur,Daniel,218
3,25962,01/11/2016,Gabriel,Herve,57
4,26762,01/11/2016,Arnaude,Valette,120
5,4360,01/12/2016,Amélie,Mercier,61
6,19594,01/12/2016,Paul,Marchand,67
7,32967,01/12/2016,Arthur,Maillet,182
8,34368,01/12/2016,Victoire,Rolland,80
9,7849,01/13/2016,William,Peron,203
10,9844,01/13/2016,Dominique,Moreau,179
11,11150,01/13/2016,Yves,Costa,117
12,12788,01/13/2016,Henri,Simon,223
13,28594,01/13/2016,Alain,Pascal,55
14,31046,01/13/2016,David,Fleury,96
15,34492,01/13/2016,Henri,Girard,188
16,34595,01/13/2016,Anne,Tanguy,181
17,3793,01/14/2016,Léon,Gillet,113
18,9545,01/14/2016,Christelle,Laine,132
19,10376,01/14/2016,Julien,Fischer,133
20,20492,01/14/2016,Margaux,Fischer,167
21,20832,01/14/2016,Diane,Delaunay,221
22,20854,01/14/2016,Emmanuelle,Dumont,117
23,30432,01/14/2016,André,Lenoir,115
24,6705,01/15/2016,Geneviève,Renaud,157
25,15662,01/15/2016,Isaac,Rousseau,127
26,16304,01/15/2016,Élisabeth,Morin,141
27,23581,01/15/2016,Adrien,Carre,214
28,3721,01/16/2016,Océane,Barre,177
29,1,01/16/2016,Antoine,Martel,170
30,23780,01/16/2016,Susanne,Lagarde,55
31,10946,01/17/2016,Clémence,Lucas,57
32,20129,01/17/2016,Christiane,Peltier,147
33,24844,01/17/2016,Patrick,Gonzalez,161
34,27046,01/17/2016,Philippe,Lecomte,99
35,1097,01/18/2016,Jean,Lecoq,187
36,2711,01/18/2016,Augustin,Maury,130
37,6083,01/18/2016,Maggie,Wagner,69
38,13171,01/18/2016,Paulette,Dijoux,207
39,13950,01/18/2016,Marcel,Hoarau,225
40,14368,01/18/2016,Manon,Mercier,225
41,19676,01/18/2016,Frédéric,Chauvin,189
42,26333,01/18/2016,Margaret,Goncalves,102
43,10323,01/19/2016,Éléonore,Godard,97
44,14341,01/19/2016,Emmanuel,Le Goff,116
45,14754,01/19/2016,Nath,Besnard,63
46,30273,01/19/2016,Danielle,Bousquet,99
47,31333,01/19/2016,Inès,Guyon,110
48,33134,01/19/2016,Honoré,Camus,217
49,1369,01/20/2016,Danielle,Colas,199
50,6336,01/20/2016,Colette,Clement,97
51,9816,01/20/2016,Jules,Ribeiro,151
52,14568,01/20/2016,Élise,Marion,136
53,14936,01/20/2016,Philippe,Delannoy,90
54,15888,01/20/2016,Zoé,Grondin,180
55,17944,01/20/2016,Andrée,Gillet,52
56,33498,01/20/2016,Victor,Boutin,96
57,256,01/21/2016,Monique,Ruiz,165
58,4151,01/21/2016,Audrey,Diaz,91
59,9651,01/21/2016,Étienne,Gallet,100
60,12585,01/21/2016,Franck,Hoareau,154
61,14634,01/21/2016,Constance,Monnier,152
62,22817,01/21/2016,Élisabeth,Gregoire,123
63,30190,01/21/2016,Anouk,Lebreton,89
64,32791,01/21/2016,Margaux,Lacombe,174
65,34745,01/21/2016,Susanne,Gerard,58
66,34892,01/21/2016,Émilie,Coste,144
67,21635,01/22/2016,Juliette,Moreno,69
68,22570,01/22/2016,Anaïs,Gregoire,128
69,29899,01/22/2016,Philippine,Gosselin,114
70,32354,01/22/2016,Marc,Dupuy,77
71,33141,01/22/2016,Nicolas,Bertrand,127
72,3409,01/23/2016,Océane,Lejeune,206
73,6659,01/23/2016,Stéphane,Colas,56
74,12201,01/23/2016,Victoire,Dupont,96
75,13356,01/23/2016,Alex,Lagarde,148
76,30624,01/23/2016,Juliette,Gomez,106
77,34187,01/23/2016,Aurore,Besnard,171
78,849,01/24/2016,Amélie,Guerin,96
79,12175,01/24/2016,Benoît,Remy,64
80,24371,01/24/2016,Michelle,Durand,65
81,32912,01/24/2016,Michel,Maillard,151
82,5544,01/25/2016,Laurence,Jacquet,74
83,7932,01/25/2016,Sophie,Delaunay,225
84,8748,01/25/2016,Manon,Guillon,197
85,9189,01/25/2016,Timothée,Peron,138
86,13861,01/25/2016,Margaud,Gauthier,57
87,30949,01/25/2016,Franck,Perrier,210
88,11685,01/26/2016,Laetitia,De Oliveira,164
89,17003,01/26/2016,Agnès,Couturier,175
90,23546,01/26/2016,Nathalie,Chartier,148
91,29393,01/26/2016,Marc,Pasquier,63
92,30900,01/26/2016,Christophe,Roche,190
93,6567,01/27/2016,Nath,Lejeune,164
94,7327,01/27/2016,Élise,Perrot,112
95,7974,01/27/2016,Timothée,Hamel,69
96,16476,01/27/2016,Isabelle,Gallet,206
97,17578,01/27/2016,Alphonse,Lemoine,225
98,34714,01/27/2016,Maurice,Fabre,52
99,4367,01/28/2016,Claire,Moreno,155
100,13268,01/28/2016,Denis,Martinez,194
